5.4836273193359375e-06 65 272
0.0006341934204101562 247 237 228
0.0010843276977539062 216 211 204
0.0015537738800048828 199 195 191
0.002099275588989258 186 183 177
0.002649545669555664 176 172 167
0.003146648406982422 169 163 159
0.003641366958618164 207 243 263
0.004164218902587891 298 319 337
0.005112648010253906 327 295 272
0.005624055862426758 247 237 228
0.006134510040283203 216 211 204
0.006665229797363281 199 195 191
0.0071756839752197266 186 183 177
0.007688045501708984 176 172 167
0.008196830749511719 169 163 159
0.008709430694580078 207 243 263
0.009221792221069336 298 319 337
0.010455846786499023 217 215 211
0.010976314544677734 207 204 201
0.011336326599121094 198 195 192
0.01165771484375 192 190 185
0.012020587921142578 185 183 179
0.012340307235717773 179 177 174
0.012656450271606445 176 172 168
0.01312255859375 171 167 163
0.013633012771606445 167 161 173
0.014162540435791016 192 224 233
0.014738321304321289 259 291 310
0.015137672424316406 332 345 353
0.015450477600097656 372 380 381
0.015760421752929688 364 345 326
0.01607036590576172 284 263 249
0.01638054847717285 231 224 216
0.016692638397216797 207 203 197
0.01700305938720703 192 188 182
0.017313718795776367 182 176 172
0.017626047134399414 173 167 163
0.017955303192138672 166 158 179
0.01844167709350586 227 263 280
0.01897144317626953 312 331 335
0.019501686096191406 338 355 368
0.02003002166748047 370 359 344
0.02057623863220215 316 291 271
0.021130800247192383 245 235 227
0.021677017211914062 214 210 204
0.022241592407226562 198 193 188
0.022829055786132812 185 180 176
0.023352622985839844 176 169 166
0.023882389068603516 169 159 158
0.024431943893432617 188 233 252
0.024984121322631836 287 313 330
0.025541305541992188 351 365 380
0.026093006134033203 389 384 371
0.02663421630859375 344 318 287
0.027164459228515625 257 246 235
0.027697324752807617 221 215 208
0.028208255767822266 200 197 191
0.0287477970123291 189 184 179
0.029267311096191406 179 172 167
0.029732942581176758 172 163 160
0.030046939849853516 164 201 223
0.03039860725402832 263 293 310
0.030721426010131836 337 352 369
0.03131556510925293 387 391 391
0.03162074089050293 376 355 332
0.03183865547180176 286 267 251
0.03205227851867676 231 224 217
0.032225608825683594 208 204 198
0.03242850303649902 193 190 184
0.032625675201416016 182 178 173
0.03296256065368652 174 169 164
0.03321504592895508 167 159 192
0.03339242935180664 247 271 289
0.03356337547302246 327 339 354
0.0337367057800293 380 387 394
0.03390765190124512 391 371 352
0.03407788276672363 312 284 265
0.03424882888793945 241 233 224
0.03444480895996094 214 208 203
0.0346219539642334 196 193 188
0.03474020957946777 185 179 176
0.03487586975097656 176 171 167
0.03501248359680176 169 162 167
0.035132646560668945 212 250 269
0.03525233268737793 303 325 340
0.03537178039550781 364 376 391
0.035492897033691406 401 394 382
0.0356137752532959 356 327 294
0.03573417663574219 262 248 238
0.03585362434387207 223 217 209
0.03597378730773926 203 199 193
0.03609442710876465 189 185 181
0.036214351654052734 179 176 172
0.03633451461791992 172 166 162
0.03645443916320801 177 224 247
0.03657364845275879 279 308 327
0.03669381141662598 347 363 381
0.03681373596191406 394 402 403
0.036933183670043945 385 367 345
0.03705286979675293 295 271 255
0.03717184066772461 235 227 220
0.03729128837585449 209 206 199
0.037410736083984375 194 190 185
0.03753066062927246 182 179 174
0.03765106201171875 172 169 163
0.03777146339416504 163 203 224
0.03792071342468262 259 294 312
0.03805661201477051 335 355 368
0.0381772518157959 385 397 403
0.038307905197143555 392 377 356
0.03842759132385254 312 284 263
0.03854799270629883 241 232 224
0.03866839408874512 214 208 202
0.03879952430725098 196 193 188
0.03892040252685547 185 181 176
0.03904104232788086 177 172 167
0.039160966873168945 167 163 186
0.03928112983703613 226 265 286
0.039400339126586914 312 335 349
0.0395205020904541 363 377 391
0.03963327407836914 393 384 368
