5.4836273193359375e-06 2527 511
0.0005276203155517578 512 527 512
0.0009052753448486328 512 527 512
0.0012836456298828125 512 527 512
0.0016598701477050781 512 527 511
0.0027730464935302734 512 527 512
0.0031528472900390625 512 527 511
0.0035283565521240234 512 527 511
0.0039052963256835938 512 527 511
0.004279613494873047 512 527 512
0.004639625549316406 512 527 512
0.0048999786376953125 512 527 512
0.00498199462890625 512 527 511
0.005214691162109375 512 527 512
0.005296945571899414 512 527 511
0.005379438400268555 512 527 511
0.005462169647216797 512 527 511
0.0055391788482666016 512 527 512
0.005605936050415039 512 527 512
0.0056726932525634766 512 527 512
0.0057523250579833984 512 527 511
0.00594329833984375 513 529 512
0.00600743293762207 513 528 512
0.006071805953979492 513 528 512
0.006136655807495117 513 529 512
0.006200551986694336 513 528 512
0.006264925003051758 513 528 512
0.0063288211822509766 512 528 512
0.006392955780029297 512 528 512
0.006456851959228516 512 527 511
0.0065212249755859375 513 527 511
0.006585121154785156 512 529 511
0.006649494171142578 512 527 511
0.006719112396240234 512 527 511
0.006783485412597656 512 527 511
0.0068476200103759766 512 527 511
0.006911754608154297 511 527 511
0.006975889205932617 511 527 511
0.007040262222290039 512 527 511
0.007104635238647461 512 527 511
0.007168769836425781 512 527 511
0.007233142852783203 512 527 512
0.007297515869140625 512 527 511
0.007361650466918945 512 527 511
0.0074269771575927734 512 527 512
0.007490634918212891 512 527 512
0.007554531097412109 512 527 511
0.007618904113769531 513 527 511
0.0076830387115478516 512 527 512
0.007759809494018555 512 527 512
0.007862091064453125 512 527 511
0.00792384147644043 512 527 511
0.007985115051269531 511 527 510
0.008046865463256836 512 526 511
0.00810861587524414 511 527 511
0.008170366287231445 512 527 511
0.008232593536376953 512 527 511
0.008294105529785156 512 527 510
0.008357763290405273 512 527 511
0.008420228958129883 513 527 511
0.008481740951538086 512 527 512
0.008543729782104492 512 527 512
0.008605718612670898 512 527 512
0.008667707443237305 512 527 511
0.00872945785522461 512 527 512
0.008791446685791016 512 526 511
0.008852958679199219 512 527 512
0.008914709091186523 512 527 511
0.008976459503173828 512 527 511
0.009038448333740234 511 526 511
0.009101629257202148 512 527 511
0.009164094924926758 512 527 510
0.009225845336914062 512 527 511
0.009287834167480469 512 527 511
0.009349822998046875 511 526 511
0.009411811828613281 512 526 511
0.009473562240600586 512 526 511
0.009535551071166992 512 527 512
0.009597539901733398 512 527 511
0.009659767150878906 512 527 511
0.009721755981445312 512 527 512
0.009783267974853516 512 527 511
0.009857416152954102 512 527 512
0.009917259216308594 513 527 511
0.009976863861083984 512 527 511
0.010036468505859375 512 527 512
0.01009678840637207 512 527 511
0.01017141342163086 512 527 511
0.010267257690429688 512 527 511
0.010356426239013672 512 527 510
0.010452508926391602 511 526 511
0.010544538497924805 512 526 511
0.010640621185302734 512 527 511
0.010743379592895508 512 527 511
0.010836362838745117 512 527 512
0.010929107666015625 512 527 511
0.011018753051757812 512 527 511
0.01112508773803711 512 527 511
0.011219501495361328 512 527 512
0.011303424835205078 513 527 511
0.011379480361938477 512 527 512
0.011501073837280273 512 527 512
0.011563539505004883 512 527 511
0.011635065078735352 512 527 512
0.011699438095092773 512 527 511
0.011761665344238281 511 527 511
0.011821985244750977 512 527 511
