5.7220458984375e-06 342 512
0.0007090568542480469 516 527 511
0.0011363029479980469 518 512 511
0.0015895366668701172 518 500 511
0.002084016799926758 515 497 511
0.002482175827026367 514 504 510
0.002863168716430664 511 518 510
0.0035643577575683594 508 556 511
0.003945112228393555 511 552 511
0.004354000091552734 513 542 512
0.004734039306640625 516 527 511
0.004825115203857422 518 512 511
0.004915952682495117 518 500 511
0.005006313323974609 515 497 511
0.005097627639770508 514 504 510
0.0051882266998291016 511 518 510
0.0053558349609375 508 556 511
0.005448818206787109 511 552 511
0.005572080612182617 513 542 512
0.005692005157470703 516 527 511
0.00577545166015625 518 512 511
0.0058498382568359375 518 500 511
0.00592494010925293 515 497 511
0.0060367584228515625 514 504 510
0.006152629852294922 511 518 510
0.006434202194213867 513 548 512
0.006559133529663086 515 542 512
0.00668025016784668 517 534 512
0.006814718246459961 518 526 511
0.006927967071533203 518 516 511
0.007047414779663086 518 508 512
0.0071713924407958984 518 503 512
0.007272481918334961 518 499 512
0.007409811019897461 516 498 512
0.007496356964111328 515 500 511
0.007620096206665039 513 507 511
0.007903099060058594 510 522 510
0.008028984069824219 506 539 510
0.008162498474121094 506 551 510
0.008292198181152344 508 556 511
0.008363962173461914 510 552 510
0.008434295654296875 512 542 511
0.008504152297973633 515 527 512
0.008574724197387695 517 513 511
0.008646249771118164 518 502 512
0.008716344833374023 516 498 512
0.008786678314208984 515 504 511
0.008857488632202148 511 518 510
0.008927345275878906 508 535 510
0.008997201919555664 506 547 510
0.009067535400390625 508 555 511
0.009137868881225586 510 554 511
0.009207963943481445 512 545 511
0.009278059005737305 515 533 511
0.009348154067993164 517 516 511
0.009423255920410156 516 503 511
0.009504079818725586 516 497 511
0.009577274322509766 515 500 511
0.009648323059082031 511 512 510
0.009718656539916992 508 528 510
0.00978851318359375 505 544 510
0.009858846664428711 507 553 510
0.009928703308105469 509 555 511
0.009999513626098633 511 549 512
0.010069608688354492 515 537 512
0.010139703750610352 516 521 511
0.010209798812866211 518 508 512
0.010280132293701172 518 499 512
0.010350227355957031 515 499 511
0.010420799255371094 513 508 511
0.010492801666259766 509 524 510
0.010563373565673828 507 540 510
0.010643959045410156 507 551 510
0.010711669921875 508 556 510
0.010779380798339844 511 551 510
0.010847091674804688 513 540 511
0.010914325714111328 515 526 511
0.01098179817199707 517 512 511
0.011056661605834961 518 500 512
0.011130094528198242 516 497 511
0.011202096939086914 514 504 511
0.011273622512817383 510 519 511
0.01136922836303711 508 536 511
0.011440038681030273 507 548 510
0.011546611785888672 508 555 510
0.011659622192382812 510 553 511
0.011776924133300781 512 545 511
0.011884927749633789 515 531 512
0.011994600296020508 516 515 511
0.012114763259887695 518 504 511
0.012253522872924805 516 497 511
0.01237177848815918 515 502 511
0.012466669082641602 511 513 511
0.012535333633422852 508 531 510
0.012615203857421875 505 544 510
0.01268315315246582 508 554 510
0.012749433517456055 509 555 511
0.012843132019042969 511 548 511
0.012941360473632812 514 536 511
0.01300668716430664 517 520 511
0.013072013854980469 518 507 511
0.013144493103027344 518 498 512
0.013213872909545898 515 499 511
0.013280868530273438 512 510 510
0.013353347778320312 509 526 511
0.013469219207763672 506 542 510
0.013539791107177734 507 551 511
0.013604402542114258 508 556 511
0.013669013977050781 511 551 511
0.013733625411987305 513 540 512
0.013797998428344727 515 524 511
0.013862133026123047 516 509 511
0.01392674446105957 517 499 511
0.014000177383422852 515 497 511
0.014065742492675781 513 505 511
0.014130353927612305 510 520 510
0.014194726943969727 507 537 510
0.014259815216064453 507 550 511
0.014324426651000977 508 556 511
0.014388799667358398 511 553 511
0.014454126358032227 513 543 511
0.01451873779296875 516 529 512
0.014597654342651367 518 515 511
0.014660120010375977 518 502 511
0.014723539352416992 516 498 511
0.014786481857299805 515 503 511
0.014848947525024414 511 515 510
0.014911413192749023 507 532 510
0.014973640441894531 506 546 510
0.015035390853881836 507 555 510
0.015097856521606445 509 554 511
0.015160083770751953 511 547 511
0.01522207260131836 515 534 511
0.015284299850463867 516 519 511
0.015346288681030273 518 504 511
0.015408515930175781 516 498 512
0.015470504760742188 515 500 511
0.01553201675415039 513 511 511
0.015594244003295898 509 527 511
0.015656471252441406 507 543 510
0.015720605850219727 507 553 511
0.015783309936523438 508 556 511
0.015845537185668945 511 551 511
0.01590752601623535 514 539 511
0.015969276428222656 515 524 511
0.016031265258789062 517 508 511
0.016093969345092773 517 499 511
0.016156673431396484 515 498 511
0.01623082160949707 513 507 510
0.016294479370117188 510 523 510
0.016356945037841797 507 539 510
0.0164186954498291 506 551 510
0.01648092269897461 508 556 510
0.016543149948120117 511 553 511
0.016605138778686523 513 543 512
0.01666712760925293 516 527 512
0.016729116439819336 516 512 511
0.01679086685180664 518 502 511
0.016852855682373047 518 497 511
0.016915082931518555 515 504 511
0.01697707176208496 511 518 510
0.017039060592651367 508 535 510
0.017101049423217773 507 547 510
0.01716327667236328 507 554 511
0.017225265502929688 510 554 511
0.017287492752075195 511 545 511
0.0173494815826416 515 532 511
0.01741170883178711 516 517 511
0.017473936080932617 518 504 511
0.017548561096191406 517 498 511
0.017607927322387695 515 501 511
0.017668485641479492 512 513 511
0.017728567123413086 508 529 510
0.017787933349609375 507 544 510
0.01784801483154297 507 553 511
0.017907381057739258 509 556 511
0.017966747283935547 511 550 512
0.018026351928710938 514 537 511
0.018085718154907227 516 523 511
0.018145084381103516 518 508 511
0.018204450607299805 517 498 511
0.018264055252075195 515 498 511
0.018323898315429688 512 508 510
0.018383502960205078 508 524 510
0.018442869186401367 506 539 510
0.01850271224975586 507 551 510
0.01856255531311035 508 556 510
0.018632888793945312 511 551 511
0.018690109252929688 513 541 511
0.018747806549072266 515 527 511
0.018805503845214844 517 512 511
0.01886296272277832 518 501 512
0.018920183181762695 516 498 511
0.01897740364074707 513 505 511
0.019034624099731445 510 519 510
0.01909184455871582 508 536 510
0.019148826599121094 507 548 510
0.01920628547668457 508 556 510
0.019263267517089844 510 554 511
0.019321203231811523 512 545 511
0.019378185272216797 515 531 510
0.019435644149780273 516 515 511
0.019492626190185547 516 503 511
0.019550085067749023 516 497 511
0.019607067108154297 515 500 511
0.01968097686767578 512 513 510
0.01977229118347168 508 530 510
0.019854068756103516 505 545 510
0.019912004470825195 508 554 511
0.019968748092651367 510 556 511
0.020025968551635742 512 548 512
0.020082712173461914 515 536 512
0.020139694213867188 516 521 511
0.02020263671875 516 507 512
0.020260095596313477 516 497 511
0.02031731605529785 515 499 511
0.020374298095703125 512 510 510
0.020431995391845703 508 526 510
0.020488739013671875 507 541 510
0.02054595947265625 506 551 510
0.020602941513061523 508 556 511
0.0206601619720459 511 551 511
0.020717144012451172 513 540 511
0.020774126052856445 515 525 511
0.020833969116210938 518 510 511
0.020891189575195312 518 499 512
0.020948410034179688 516 498 511
0.02100539207458496 514 505 511
0.021062612533569336 511 521 510
0.02111959457397461 507 537 511
0.021176576614379883 507 550 510
0.021234750747680664 507 556 511
0.02129197120666504 510 553 511
0.021348953247070312 512 543 511
0.02140641212463379 515 530 511
0.021463394165039062 516 515 510
0.02152085304260254 516 502 511
0.02157759666442871 516 496 511
0.021634578704833984 514 502 511
0.02169203758239746 511 515 510
0.021749258041381836 508 532 510
0.02180647850036621 507 546 510
0.021863698959350586 508 554 510
0.02192091941833496 510 555 511
0.021978378295898438 511 548 511
0.022035837173461914 515 535 512
0.02209329605102539 517 519 511
0.022150278091430664 518 505 512
0.022207260131835938 518 498 511
0.022264480590820312 515 499 511
0.022321462631225586 512 511 510
0.022378921508789062 508 527 510
0.022435903549194336 506 542 510
0.02249312400817871 507 552 510
0.022550106048583984 508 556 511
0.02260756492614746 511 550 511
0.022664546966552734 513 539 511
0.022721529006958008 516 524 511
0.022778987884521484 516 509 511
0.022835969924926758 518 499 512
0.022912025451660156 516 497 511
0.022975444793701172 513 507 511
0.023060083389282227 510 523 510
0.02315545082092285 508 539 511
0.02325439453125 507 551 511
0.023345470428466797 508 556 511
0.02343606948852539 510 553 512
